 Shell#     R/Rsun       M/Msun       Cs               Rho
    193   0.10933567  0.09366051  5.05215571E+02  1.90550730E+00  7.10298416E+00
    194   0.10984239  0.09469969  5.05057010E+02  1.90363155E+00  7.10230239E+00
    195   0.11035046  0.09574677  5.04896068E+02  1.90174908E+00  7.10161753E+00
    196   0.11085991  0.09680182  5.04732723E+02  1.89985976E+00  7.10092952E+00
    197   0.11137077  0.09786494  5.04566950E+02  1.89796347E+00  7.10023831E+00
    198   0.11188309  0.09893623  5.04398732E+02  1.89606006E+00  7.09954388E+00
    199   0.11239690  0.10001579  5.04228052E+02  1.89414937E+00  7.09884619E+00
    200   0.11291224  0.10110371  5.04054888E+02  1.89223126E+00  7.09814520E+00
    201   0.11342915  0.10220011  5.03879216E+02  1.89030559E+00  7.09744085E+00
    202   0.11394766  0.10330509  5.03701012E+02  1.88837220E+00  7.09673310E+00
    203   0.11446783  0.10441875  5.03520251E+02  1.88643094E+00  7.09602189E+00
    204   0.11498969  0.10554121  5.03336906E+02  1.88448167E+00  7.09530717E+00
    205   0.11551327  0.10667258  5.03150952E+02  1.88252421E+00  7.09458888E+00
    206   0.11603863  0.10781296  5.02962361E+02  1.88055842E+00  7.09386697E+00
    207   0.11656580  0.10896249  5.02771105E+02  1.87858413E+00  7.09314139E+00
    208   0.11709483  0.11012127  5.02577156E+02  1.87660117E+00  7.09241207E+00
    209   0.11762576  0.11128944  5.02380485E+02  1.87460938E+00  7.09167896E+00
    210   0.11815864  0.11246711  5.02181053E+02  1.87260859E+00  7.09094199E+00
    211   0.11869351  0.11365441  5.01978827E+02  1.87059865E+00  7.09020111E+00
    212   0.11923041  0.11485148  5.01773776E+02  1.86857936E+00  7.08945626E+00
    213   0.11976939  0.11605845  5.01565868E+02  1.86655054E+00  7.08870736E+00
    214   0.12031051  0.11727545  5.01355070E+02  1.86451201E+00  7.08795436E+00
    215   0.12085380  0.11850262  5.01141348E+02  1.86246358E+00  7.08719718E+00
    216   0.12139932  0.11974011  5.00924669E+02  1.86040504E+00  7.08643577E+00
    217   0.12194712  0.12098807  5.00704997E+02  1.85833621E+00  7.08567005E+00
    218   0.12249724  0.12224663  5.00482297E+02  1.85625687E+00  7.08489995E+00
    219   0.12304974  0.12351596  5.00256532E+02  1.85416681E+00  7.08412540E+00
    220   0.12360468  0.12479620  5.00027665E+02  1.85206583E+00  7.08334633E+00
    221   0.12416209  0.12608752  4.99795657E+02  1.84995370E+00  7.08256266E+00
